course code,course title,course description,active status,start date,end date
SCH  213,Organic Chemistry II Laboratory,Continuation of topics introduced in SCH 211.   When Offered: Spring semester. Fee.,Active,SP 0203,SP 2526
SCH  222,Physical Chemistry II,,Inactive,SP 9394,SP 9394
SCH  224,Foundations of Biochemistry,This course provides foundational knowledge in biochemistry with an emphasis on its application to human health and disease. Students will explore the chemical principles underlying biological systems and the molecular basis of life. Topics include the st,Active,FA 2526,FA 2526
SDA  142,Ballet I,Basic principles of classical ballet technique are explored and developed through barre exercises and centre floor work. Explore the history of ballet through selected videos and discussions. Credits: Variable (2-3).  Permission required for 2 credit vers,Active,FA 1415,FA 2425
SCH  232,Physical Chemistry II,,Inactive,SP 9900,SP 0102
SCH  247,Nucleic Acids,,Inactive,SP 9394,SP 9495
SDA  145,Intro to Dance/Movement Therapy,"This experiential (movement, observation and assessment of movement) and lecture-based class (text, audio and visual learning, discussion, kinesthetic approaches included) will explore and overview of the foundations, principles, clinical application and ",Active,SP 2425,SP 2425
SDA  221,Movement Lab for Dancers,"An introduction to biomechanics that relate to the movement of joints, dance technique, and injury prevention. The course will focus on kinesthetic movement along with an introduction to other movement studies such as Feldenkrais, Pilates, Alexander Techn",Active,FA 1718,SP 2526
SCH  231,Physical Chemistry I Lab,,Inactive,FA 9798,FA 9596
SCH  300,Criminalistics,,Inactive,SP 0203,SP 0708
SDA  230,West African Dance,The performance-based course will examine artistic processes and practice that expose students to African cultures. Students will explore African music and dance from its historic development rooted in West African traditions to its expansion in the Afric,Active,FA 2425,FA 2526
SCH  326,Biochemistry Laboratory,"Introduction to basic biochemical laboratory techniques such as spectrophotometry, chromatography, and electrophoresis. Enzyme kinetics and isolation, purification, and characterization of proteins, lipids, and nucleic acids are emphasized.   When Offered",Active,FA 0809,SP 2526
SDA  305,Dance History II,"This course is an in-depth exploration of dance beginning in 19th-century dance of the United States up to the present day through historical, cultural, political, and economic events. Topics include significant works and contributions to the development ",Active,SP 1819,SP 2425
SCH  233,Physical Chemistry II Laboratory,,Inactive,SP 9596,SP 0102
SCH  332,Quantum Mechanics,"An introduction to quantum theory and its application to spectroscopic analysis of atoms and molecules.   When Offered: Spring semester. Prerequistite(s): SCH 212, SCH 213, SPH 112, and SPH 113. ",Active,FA 0809,SP 2526
SAR  312,Art in Middle School Ed & Practicum,"Students become familiar with art education at the middle school level, the development of art education in America, assessment, and issues relating to visual culture; observe exemplary programs; and develop and teach lessons in a variety of settings.  A ",Inactive,FA 1415,FA 1819
SDA  342,Ballet III,"Continued development of ballet technique, including safe and efficient alignment and clear articulation of movement vocabulary. Combinations given at the barre and in the center are more complex and introduce new vocabulary.   When Offered: Spring semest",Active,FA 1516,SP 2526
SCH  248,Nucleic Acids Laboratory,,Inactive,SP 9394,SP 9495
SCH  348,Advanced Synthesis Laboratory,"A laboratory course that involves advanced synthetic methods and analyses of organic, organometallic and inorganic compounds. Synthetic methods include micro- and macro-scale techniques and an introduction to air-free techniques. Analyses focus on charact",Active,FA 2021,FA 2425
SDA  365,Dance Composition I,"This course examines the elements of time, space, and design related to dance composition. Dances which demonstrate rhythmic skills and comprehension of spatial design are created, performed, and critiqued. Assignments address choreographic structure, dyn",Active,SP 1112,SP 2526
SAR  313,Art in Secondary Ed & Practicum,"In this capstone course, students become familiar with art education in grades K through 12. Arts advocacy, classroom management, multi-disciplinary collaboration, special needs students, purchasing materials, sourcing materials, technology, curriculum de",Inactive,SP 1415,SP 1819
SCH  400,Chemistry Seminar,"The following topics are explored: chemical information, careers in the chemical sciences, professional ethics, graduate school, gender issues, and resumes and employment interviewing process.  Prerequisites: SCH212 and SCH213. Fall semester. 1 credit.",Inactive,SP 0203,FA 1920
SDA  430,Internship,Supervised and evaluated work experience in the entertainment industry or in a school or camp setting.    Permission Required. Repeatable for credit.,Active,FA 1415,SP 2526
SCH  403,Scientific Communication Seminar II,This course will be a continuation of topics introduced in Scientific Communication Seminar I. Particular emphasis will be placed on developing student presentations of internship or research project experiences through written and oral methods.   When Of,Active,SP 2122,SP 2526
SCH  405,Sp Tps: Clinical Biochemistry,Topics of special interest in chemistry and biochemistry.  Credits: Variable. When Offered: As needed. Prerequisites:  SCH 212  and SCH 213. Repeatable for credit.,Active,FA 1415,SP 2324
SDA  455,Senior Dance Project,"The Senior Dance Project course provides students with a culminating educational experience focusing on formally synthesizing and articulating knowledge and skills through the development and presentation of a professional project. Students will organize,",Active,FA 2425,FA 2526
SCH  410,Independent Study,Taught by arrangement with the professor.    Permission Required. Repeatable for credit.,Active,SP 0203,SP 2526
SDS  250,Advanced Data Science,"This course provides an in-depth exploration of advanced data science techniques, including clustering, principal component analysis (PCA), and neural networks. Students will learn to apply these methods to real-world data sets, uncovering patterns, reduc",Active,SP 2324,SP 2526
SDS  430,Internship,0 Permission Required.,Active,SP 2223,SP 2526
SCH  315,Forensic Biology & Pattern Analysis,,Inactive,FA 0809,FA 1011
SCH  425,Research,,Inactive,FA 9798,FA 0203
SEC  310,Global Economics,,Inactive,SP 9697,SP 9495
SCH  430,Internship,"An off-campus laboratory experience arranged by the student, with the assistance of the faculty. The student works in an industrial laboratory.     Permission Required. Repeatable for credit.",Active,SP 0203,SP 2526
SEC  410,Independent Study,0 Permission Required. Repeatable for credit.,Active,FA 0809,SP 2526
SCH  325,Biochemistry,"Chemical structures and biological functions of proteins, enzymes, carbohydrates, lipids, and nucleic acids. Survey of major metabolic pathways involving carbohydrates, lipids, and amino acids. Structure-function relationships of biological membranes. Nuc",Active,FA 0809,SP 2526
SED  202,Teaching Strategies PreK to Grade 4,"This course presents the learning theories, teaching and learning approaches of early childhood education, the Pennsylvania and NAEYC professional standards, code of ethics, and the skills necessary to succeed in meeting the needs of young children. Instr",Active,FA 1415,CA 2526
SCH  435,Research,Participation in research on campus or at a government laboratory or another academic institution.    Permission Required. Repeatable for credit.,Active,SP 0203,SP 2526
SED  205,Intro to Special Education,"Educational philosophies and instructional strategies for children with special needs. Topics focus on specific characteristics of various disabilities, cultural and language barriers, gifted and talented, current legislation, inclusion strategies, and cu",Active,SP 0203,SP 2526
SAR  314,Art in Elementary Ed & Practicum,"Students become familiar with art education at the elementary level, arts advocacy, classroom management, and issues relating to technology; observe exemplary programs; and develop and teach lessons in a variety of settings.  A teaching journal, teaching ",Inactive,FA 1415,FA 1819
SCH  440,Chemistry & Biochemistry Capstone,This course is required for all chemistry and biochemistry majors and should be taken during the last semester of study. The capstone requirements include two major components reflecting on growth and learning objective attainment: an electronic portfolio,Active,FA 2425,SP 2526
SED  206,Typical & Atypical Growth Develop,"Examines human development from conception through adolescence. Typical and atypical physical, cognitive, and social-emotional development of children and adolescents, development in areas of physical, sensory, and motor development, atypical behavior, an",Active,FA 1415,SP 2526
SCH  330,Thermodynamics,"An introduction to physical chemistry with emphasis on equilibrium thermodynamics, chemical and physical equilibrium, and chemical kinetics.   When Offered: Fall semester. Prerequistite(s): SCH 212, SCH 213, SMA 140, SPH 112, and SPH 113. ",Active,FA 1415,FA 2526
SED  245,Functions of Special Ed Classroom,"This course will explore: overviews of learning support, emotional support, autistic support, life skills support and resource classroom settings; teacher preparation and strategies to adapt the classroom environment to meet the physical, academic and emo",Active,FA 2122,FA 2526
SCJ  260,The Dark Side of Crime: Profiling,This course allows the student an opportunity to become acquainted with the terminology of profiling and to gain a basic understanding of the factors involved in profiling.  When Offered: Fall semester; OBC as needed.,Active,FA 1415,FA 2526
SED  302,Practicum: Reading,Practicum students are placed in a classroom setting for one or more hours per week (15 hours total) to observe reading being taught. The students in this field experience interact with children who are learning to read and record observations on pupil be,Active,SP 0203,SP 2526
SCJ  300,Corrections,"Examines the legally sanctioned methods of dealing with lawbreakers including institutional corrections, community corrections, and dispositions including community service, restitution programs, victim awareness programs, and electronic monitoring.  A 20",Active,SP 1011,SP 2526
SCJ  330,"Ethics, Values, and Diversity in CJ","Examines the implications of ethics and diversity in the criminal justice field. Students will understand the importance of ethical behavior on controversial issues and decision making in law enforcement, corrections, courts, and other related areas. Stud",Active,FA 2324,SP 2526
SCJ  553,Analytical Reasoning & Evaluation,"This course examines the relationship between logic and language, with specific attention to identification, analysis, and evaluation of arguments. Additionally, students will understand and utilize elements of inductive and deductive reasonings while rec",Active,FA 2425,FA 2526
SCJ  558,Ethical Issues & Application,"This course will provide an in-depth understanding of the various ethical and philosophical concerns facing the criminal justice field. Students will work to identify and understand ethical codes within policies, programming, and practice. Through code ap",Active,SU 2425,SU 2425
SCJ  560,"Mental Health, Law, & Application","This course provides rigorous details of how various components of mental health impact not only practitioners within the criminal justice field, but also their day-to-day professional interactions. Students in this course will examine, analyze, and criti",Active,SP 2425,SP 2526
SCN  115,Intensive Chinese,Intensive course which emphasizes the development of communication skills (speaking and listening) in Chinese. Study takes place in the target culture and requires extensive use of Chinese in and outside of class activities. Includes cultural activities i,Active,SP 1011,SP 1718
SED  303,Practicum: Special Education,,Inactive,SP 0203,FA 0506
SCN  250,Topics in Chinese Usage,"Designed for students who have attained intermediate level in Chinese and are able to deal with more specialized vocabulary and complex sentence structures. This course aims to build students' language skills, help them acquire language proficiency higher",Active,FA 1415,CA 2526
SCH  331,Thermodynamics Laboratory,"Laboratory course that introduces students to both classical and modern methods of analysis in physical chemistry. Experiments include calorimetry, chemical-and-phase equilibrium analysis, kinetics, and viscosity measurements. Computational analysis tools",Active,FA 1415,FA 2526
SCH  333,Quantum Mechanics Laboratory,"A laboratory course that is designed to provide students with experimental experiences that complement topics discussed in the quantum mechanics lecture course.  The topics of spectroscopy and molecular modeling are emphasized, and computational analysis ",Inactive,SP 1415,SP 1819
SCN  410,Independent Study,Permission required.  Repeatable for credit.  Variable credit.,Active,FA 1415,FA 1920
SCH  347,Inorganic Chemistry Laboratory,A laboratory course that involves the synthesis and analysis of inorganic compounds.  Synthetic methods include micro- and macro-scale techniques and an introduction to air-free techniques.  Analyses focus on spectroscopic characterization including FTIR ,Inactive,SP 1516,SP 1819
SCR  100,Haitian Creole Lang & Culture I,An introductory course for basic comprehension and communication in Haitian Creole that emphasizes the use of interactive technologies & online conversational exchange for understanding language in context. The course develops communicative skills in Hait,Active,FA 2526,FA 2526
SED  304,Practicum: Secondary Methods,"This is a companion course for all secondary methods courses. In this early field experience, pre-service students work with secondary content specialist teachers in area schools for one day per week per term.  Formal admission into the Education Program ",Active,FA 0809,FA 2425
SCH  349,Clinical Biochem & African Diaspora,"An overview of the physiological aspects of metabolites, biomarkers, and hormones regarding their impact on health and wellness using biochemical techniques and arrange of specimens. The course will also discuss racial disparities in biochemical analyses ",Active,SP 2526,SP 2526
SCS  125,Intro Computer Security & Forensics,Explores security issues with electronic data and computers.  Demonstrates methods and describes policies to maintain data security and computer security. Introduces issues involving computer forensics and data recovery.  Fall and spring semesters.  3 cre,Inactive,FA 1415,FA 1617
SCS  131,Prog 1: Intro to Development,Students learn the fundamentals of computer science and of Mac programming.  This course uses the Objective C programming language and the XCode development environment.  Students learn specific skills in Mac programming and the Objective C language.  The,Active,FA 1415,SP 1718
SED  305,Practicum: Multiculturalism,This course is a field experience for elementary certification areas.  Students work in diverse classrooms.  Formal admission into the Education Program required.  Required Clearances.  When Offered: Fall and spring semesters; M-term travel abroad. Prereq,Active,FA 0809,SP 2526
SCH  354,Instrumental Analysis,"An in-depth study of instrumentation for chemical analysis and the principles of operation underlying modern instrumental methods; includes spectroscopy, chromatography and electro-analytical methods.  Emphasis is on the atomic and molecular principles th",Inactive,FA 1415,FA 1819
SED  310,Instructional Tech.& Strat.Lab+Prac,,Inactive,FA 9596,SP 9495
SCH  357,Advanced Spectroscopy Laboratory,"Laboratory course that provides hands-on experience with advanced spectroscopic methods for analysis. The student will utilize modern spectroscopic instrumentation, including atomic absorption, fluorescence, FTIR, Raman, UV-vis, and NMR. Computational stu",Active,SP 1920,SP 2526
SED  312,Language Development,"Explores the development of language and literacy in the pre-K child. Comparison of theoretical aspects of language and literacy to practical school-based situations. Development of spoken language emphasized: syntactic, morphological, phonological, seman",Active,SP 1011,SP 2526
SCS  220,Java Programming,"Covers fundamental concepts of object-oriented programming using Java. Topics include objects, classes, constructors, methods, and instance variables. Programming projects include linked lists, stacks, queues, searching, and recursion. Students learn the ",Active,SP 0203,CA 2324
SCH  380,Advanced Biochemistry,"This course includes in-depth study of enzymes including mechanisms, kinetics, and regulation methods. Metabolic pathways and connections between genetics, nutrition, and disease are emphasized. Current developments in biochemistry laboratory techniques a",Active,SP 2223,SP 2425
SED  329,Secondary Methods,"Becoming an effective educator requires more than extensive content knowledge and a desire to teach. It demands commitment, the willingness to learn, and a mastery of differentiated methods for instruction and assessment. In order to prepare prospective t",Active,FA 2425,FA 2425
SCS  230,Database Management Systems,"Introduces the student to the process of relational database development, including data modeling, database design, implementation, and administration. Topics include: the relational model, E-R Model, relational database design, normal forms, functional d",Active,SP 1011,SP 2526
SED  331,Home Economics Education,,Inactive,SP 9394,SP 9394
SCS  270,Computer Forensics Desktop & Mobile,"Explains and demonstrates the technical procedures for preserving, capturing, recovering, and presenting digital evidence.    When Offered: Fall semester. Fee.",Active,FA 0809,FA 2526
SED  410,Independent Study,0 Permission Required. Repeatable for credit.,Active,SP 0203,SP 2526
SCS  280,Computer Org.& Assem.Lang.Program.,,Inactive,SP 0203,SP 0708
SCH  401,Honors,,Inactive,SP 0203,FA 9596
SED  420,Field Work,Credits: Variable. Fee. Repeatable for credit. Permission required.,Active,SP 0203,SP 2223
SCS  295,Intro.to Graphics Programming,,Inactive,SP 0506,SP 0102
SED  545,Methods for Teaching the Holocaust,,Inactive,SU 1011,SU 0708
SCH  402,Scientific German,,Inactive,SP 9394,SP 9394
SCJ  235,Trauma Informed Care Crim Justice,"Trauma-informed care in criminal justice is an approach acknowledging the role trauma has in people's lives and recognizes the presence of trauma symptoms. It aims to avoid re-traumatizing individuals, which can increase safety, reduce criminal behavior, ",Active,FA 2526,FA 2526
SCJ  240,Trauma Inform Care Children & Fam,Focuses on practices for trauma informed-care of children and families.  Students engage in critical learning experiences recognizing key components related to trauma why it is important to understand trauma.  Designed to prepare professionals with backgr,Active,FA 2526,FA 2526
SCS  301,Analysis of Mobile Software Systems,Focus on the fundamentals of systems analysis and software engineering to develop software for mobile platforms. Students explore the process of developing software and learn a specification language for creating software specification and design document,Active,FA 1415,FA 2526
SED  565,"Interventions:Reading,Writing, Math","Application of research on teacher effectiveness, intensive intervention instructional practices, and delivery methods for students through grade 12 with mild and severe disabilities is explored. Topics include intervention strategies in reading (all cont",Active,FA 1415,FA 2526
SCJ  250,Special Topics:Criminal Justice,"Explores various topics in criminal justice.   When Offered: Fall and spring semesters; OBC session, 3 even-numbered years. Prerequistite(s): SCJ 110.  Repeatable for credit. Fee when field trip is part of the course.",Active,FA 0809,SP 2526
SCS  354,Imple & Admin MS Word 2000 Directry,,Inactive,SP 0203,FA 0405
SCJ  320,Comparative Criminology,Provides a theory-based comparison and analysis of the impact of internationalization and globalization on crime and criminal justice systems across non-western cultures.  Students utilize current research studies to measure and compare non-western cultur,Active,SP 2122,SP 2526
SED  570,Collaboration & Transitions,"Topics of study include process and procedures for identifying key special education transition points; developing effective techniques for creating a collaborative culture of support among special education professionals, parents, and related service per",Active,FA 1415,SP 2526
SCS  372,Admin MS SQL Server 2000 Database,,Inactive,FA 0304,SP 0405
SCJ  410,Independent Study,0 Permission Required. Repeatable for credit.,Active,FA 0809,SP 2526
SED  615,Middle School: Theory & Practice,"This course focuses on the philosophy, functions, and curricula of young adolescent education as implemented in grades four through eight with emphasis on the Pennsylvania State Standards. Relationships between pupils' developmental/cognitive characterist",Inactive,FA 1415,FA 2324
SCS  390,Sp Tps: Web Application Development,"Study of a specified traditional, cutting-edge, and/or advanced topic in computer science.   Credits: 3. When Offered: As needed. Repeatable for credit. Permission required.  Junior status.",Active,FA 1415,FA 2425
SED  630,21st Century Learning,"This course provides a rationale for the need to develop 21st-century skills among our students and workforce. It presents the key 21st-century skills, collaboration, knowledge construction, self-regulation, problem-solving and innovation, information and",Active,SP 1819,SP 2526
SCS  401,Honors,,Inactive,SP 0203,FA 9596
SCJ  552,Professional Writing and Engagement,"This course focuses on acquiring communication strategies and writing styles relevant to the criminal justice field. Writings include everyday standards of communication, such as emails, memos, letters, and technical writings, as well as formal research r",Active,FA 2425,FA 2526
SED  668,Literacy Assessment & Intervention,"This course describes a variety of formal and informal strategies for advanced literacy assessment. Specifically, students will learn how to select, administer, and interpret them, as well as how to use the results to plan and implement appropriate readin",Active,SP 2223,SP 2526
SCY  125,Intro Computer Security & Forensics,Explores security issues with electronic data and computers. Demonstrates methods and describes policies to maintain data security and computer security. Introduces issues involving computer forensics and data recovery.  When Offered: Fall and spring seme,Active,SP 1617,SP 2526
SED  669,Visual Literacy,"Visual literacy, the ability to interpret and make use of visual images, is a complex act of meaning making that provides learners with opportunities to make connections, synthesize information, and critique the world around them. In much the same way tha",Active,SP 2223,SP 2526
SCY  392,Network Administration,"Students configure and manage Extreme Networks switching and wireless environments. Students use Extreme Networks networking equipment in a laboratory to perform real world tasks of configuring networks, managing network traffic, and implementing security",Inactive,SP 1718,SP 1718
SAR  315,Drawing,,Inactive,SP 9596,FA 9596
SCJ  555,Leadership Management,"This course provides students with the technical, interpersonal, conceptual, social, and political skills necessary to lead effective and efficient criminal justice organizations embedded within diverse communities. Students will engage in diagnosing and ",Active,SP 2425,SP 2526
SCY  533,Managing Cyber Threat Intelligence,"This course will introduce the fundamentals of cyber threat intelligence, stages of a cyber attack and collecting indicators of compromise (IoCs) from the attacks/incidents to students seeking to be leaders within their organization identifying and assess",Active,SP 2223,SP 2526
SED  671,Reading Specialist Seminar,"In addition to guiding teachers through the final stages of becoming Literacy Professionals and certified Reading Specialists, this seminar also provides them with a space to reflect, collaborate, and troubleshoot their experiences in the Reading Speciali",Active,SU 2223,SU 2425
SCN  100,Elem Chinese Language & Culture I,"An introductory course for basic comprehension and communication in Chinese. Coordinates the study of language with culture through the use of video, magazines, and television. Assumes little or no prior knowledge of the language.  When Offered: Fall seme",Active,FA 0809,FA 2526
SCS  115,Introduction to Programming,,Inactive,SP 0506,FA 0506
SCS  130,Computer Science I,,Inactive,FA 0809,FA 9596
SCS  215,Unix Concepts and Programming,"Gives general use of the Unix/Linux operating system, including navigation, file manipulation, and common Unix/Linux commands. This course also covers use of the vi editor, programming with shell scripts, and use of network-based applications. This course",Active,FA 0809,FA 2526
SCS  300,Structured System Analysis,,Inactive,SP 0203,FA 1011
SCS  310,"Computers, Ethics, and Society",,Inactive,FA 0809,FA 1011
SED  689,"Creative Thinking: Art, Mov, Play","This course focuses on strategies for fostering creative thinking. It teaches how to develop, implement, assess, and modify curriculum in the arts and humanities using both traditional and contemporary technologies. Students will learn how to utilize crea",Active,SP 2425,SP 2526
SCS  320,Operating System Fundamentals,,Inactive,SU 0506,SU 0708
SDA  139,Introduction to Dance,"A movement foundation course that enhances kinetic awareness and knowledge by analyzing a broad spectrum of dance genres through combinations and movement exercises. This course explores topics of technique analysis, anatomy, history, improvisation, and a",Active,FA 1415,FA 2526
SCS  341,Algorithms Analysis,"Introduction to the design and analysis of computer algorithms. Topics include fundamental algorithms, mathematical tools for analyzing algorithms, and strategies for designing algorithms. Fundamental algorithms include graph algorithms and algorithms for",Active,SP 1112,FA 2526
SCS  355,Introduction to Compilers,,Inactive,FA 0607,FA 0607
SCS  370,Parallel Computing,,Inactive,FA 0607,SP 0708
SDA  144,Jazz I,"An introduction to the concepts and vocabulary of jazz dance technique. Students explore fundamental concepts of alignment and coordination. Dance styles include hip-hop, contemporary, and classical jazz.   When Offered: Spring semester. Permission requir",Active,FA 1415,SP 2526
SCS  373,Programming MS SQL Server Database,,Inactive,FA 0304,SP 0405
SED  690,Student Teaching (Sustaining),"This course pairs preservice teachers with classroom mentors for twelve weeks. This is a full-time experience, and students will assume full responsibility as demonstrated by effective methods for planning, classroom environment, instruction, assessment, ",Active,SP 2425,SP 2526
SDA  200,Ballet Technique,"SDA200 - Ballet Technique  - This course is designed to build the strength, flexibility, endurance, and control necessary for performance of intermediate-level ballet barre exercises, adagio sequences, and allegro combinations. An understanding of proper ",Active,FA 2526,FA 2526
SCS  391,Computer Networks,,Inactive,SP 0203,SP 0405
SED  691,Action Research Seminar,"In addition to providing preservice teachers with support during student teaching, this course prepares them to engage in action research that seeks transformative change in the context of critical reflection. By answering questions, such as whether or no",Active,SP 2425,SP 2526
SCS  400,Computer Systems Research/ Seminar,"This capstone course explores technical material to help students learn and understand the technical nature of computer operating systems and networks; helps develop abilities to read, speak, and write technical information - all necessary skills for the ",Active,FA 1112,SP 2526
SED  692,Secondary Methods I: Theory,"This course focuses on organizing dynamic classrooms and setting the stage for successful learning at the secondary level. In addition to discussing state and professional standards, academic language, and the teacher accreditation process, students will ",Active,FA 2526,FA 2526
SDA  210,Pointe,"This course is designed to build the strength, flexibility, endurance, and control necessary for performance of intermediate-level pointe exercises, adagio sequences, and allegro combinations. An understanding of proper body mechanics and the classical ba",Active,FA 1718,SP 2526
SDA  220,Anatomy for Dancers,"An introduction to the field of dance science for dance majors.  This course covers the skeletal and muscular systems while addressing alignment deviations and mechanics with special consideration for dance.   When Offered: Fall semester, odd-numbered yea",Active,FA 1112,FA 2526
SED  693,Secondary Methods II: Practice,"This course focuses on designing, sequencing, and organizing instruction to maximize student learning at the secondary level. In addition to developing lesson plans, creating assignments, and constructing tests, students will practice teacher-centered met",Active,FA 2526,FA 2526
SDA  245,Dance Rehearsal and Performance,This course is designed to increase the student’s familiarity and comprehension of the rehearsal process from the point of view of a choreographer and performer. The course enhances the growth of the dancer through articulating ideas about choreography as,Inactive,FA 1415,SP 1617
SCS  534,Gbl Infrastructure Design & Srcing,"This course prepares students to design network and telecommunication systems to ensure corporations can expand from single locations to a large, global presence using advanced networking, global platforms and cloud infrastructure. Sourcing technology nee",Active,FA 2425,FA 2526
SED  700,Elementary Educ.Curriculum Survey,,Inactive,FA 9596,FA 0203
SCY  180,Cybercrime,Overview of types of crimes that occur online and how they are conducted. Introduces students to technologies used throughout this course and future courses.  When Offered: Fall semester.,Active,FA 1819,FA 2526
SDA  247,Musical Theatre Dance,Musical Theatre Dance I : This course is designed to introduce and enhance the student's knowledge of musical theatre dance through a historical timeline of popular dance styles performed in musicals. Students will learn and perform a variety of musical t,Active,SP 1112,FA 2526
SCY  395,Network Security I,"Investigates security needs involved in network communication, wireless networks, network vulnerability assessment, incidence response, and network-based forensics. Students use and solve data encryption techniques, employ penetration testing, and analyze",Active,SP 1920,SP 2526
SED  715,Special Topics in Special Education,Individualized study of selected topics related to special education.  Repeatable for credit. Permission of program director is required. 1-3 credits.,Active,SP 0203,FA 1920
SCY  531,Cyber Risk Mitigation,"This course will introduce the cybersecurity model and key concepts of risk mitigation and remediation.  Students will evaluate, design and examine cyber risk plans to secure an enterprise and guard against future cyber attacks.  When Offered: Master's se",Active,FA 2223,FA 2526
SED  723,Science in Elem/Middle Level Ed,"This course includes the Pennsylvania Core Standards with advanced study in the trends, materials, and approaches for teaching science/health topics and processes in elementary/middle level education. Participants are engaged actively in science/health ex",Inactive,FA 1415,FA 2324
SDA  250,Commercial Dance I,"This course focuses on training students in various popular choreography styles, including Jazz Funk, Latin styles, Broadway and Hip Hop. Dancers receive an introduction to industry standards of dance in New York and L.A. as seen in music videos, fashion ",Active,SP 2425,SP 2425
SDA  260,Dance Improvisation,"The Dance Improvisation course will investigate improvisation in dance while incorporating exercises that will lead to the development of phrase work. This course will use discussion, demonstration, and readings to explore various aspects of dance improvi",Active,FA 2425,FA 2526
SDA  105,Experiencing Dance & Performance,"This course is designed for new dance majors and minors and serves as an introduction to the place of dance within academia. Through the practice of descriptive dance writing, and theoretical and physical exploration of pedagogical and choreographic proce",Active,FA 1718,FA 2526
SDA  270,Dance & Expression for Disabilities,"This course will provide an overview of the importance of life, leisure, and extracurricular opportunities for everyone, including individuals with disabilities, through the lens of dance. An overview of individuals with disabilities will be provided by u",Active,SP 1819,SP 2526
SDA  201,Sophomore Review,"The Sophomore Review will provide an opportunity for students and faculty to review and assess the student's experience, goals, and progress within the dance program through to the end of the sophomore year.  Faculty assessment, and a self-assessment by t",Active,SP 2425,SP 2526
SDA  341,Tap III,"This course develops advanced knowledge and technique in the art of tap dancing continuing from SDA 241. Class work includes intermediate to advanced combinations and projects.   Offered: Spring semester, odd-numbered years and fall semester, odd-numbered",Active,SP 1819,SP 2425
SDA  215,Dance Technique,"SDA 205 - Dance Technique  - This course is designed to focus on building and strengthening dance technique while warming up the mind and body. This course teaches the student to build the strength, flexibility, endurance, and control necessary for perfor",Active,SP 2526,SP 2526
SED  724,Social Studies Elem/Middle Level Ed,"This course analyzes the theoretical discourse in the field of social studies education. Lesson planning for the teaching of social studies, based on Pennsylvania Core Standards, is stressed. Instructional techniques for the teaching of elementary social ",Inactive,SP 0203,SP 2223
SDA  347,Musical Theatre Dance II,Musical Theatre Dance II : This course is designed to enhance the student's knowledge of musical theatre dance through advanced level movement following a historical timeline of popular dance styles performed in musicals. Students have the opportunity to ,Active,SP 2526,SP 2526
SDA  400,Ballet Technique,"This course is designed to build the strength, flexibility, endurance, and control necessary for performance of intermediate-level ballet barre exercises, adagio sequences, and allegro combinations. An understanding of proper body mechanics and the classi",Active,FA 1415,FA 2526
SDA  435,Teaching of Dance II,Students will gain practical teaching experience beyond course work included in SDA 370. Teaching strategies and lesson plan development are emphasized. Students focus on becoming an effective teacher while developing personal classroom standards and guid,Active,SP 1718,SP 2526
SDA  244,Jazz II,"Intermediate technique in jazz continuing from SDA 144. The continued study of alignment while in motion, enhancing skills of musicality, rhythm, and phrasing. This course continues to develop increased strength and stamina while effectively applying tech",Active,FA 1415,SP 2526
SDA  440,Modern Dance IV,"This course is for dancers who are committed to a progressive training program and who have already satisfactorily demonstrated proficiency in all previous skill levels. Students continue the study of modern dance at the advanced level, focusing on moveme",Active,SP 1415,FA 2526
SED  725,Advanced Reading & Lang Arts I K-3,,Inactive,FA 9596,FA 1011
SDA  320,Commercial Dance II,"A continuation of training from Commercial Dance I, this course focuses on deepening the student's awareness of current commercial dance industry stylings in New York and L.A. Special focus is placed on performance and employment options post graduation. ",Active,FA 2526,FA 2526
SDA  450,Dance Ensemble,"This course provides an environment for dancers to work in a dance ensemble environment. By working with resident full-time faculty, adjunct faculty, and/or guest choreographer students learn dance repertory across multiple genres.  When Offered: Spring s",Active,SP 1718,SP 2526
SED  726,Adv. Reading & Lang.Arts (4-8),"This course concentrates on the examination and application of current research-based strategies for teaching reading, writing, speaking, and listening skills to children in grades 4-8 with a focus on national and Pennsylvania Core Standards. This course ",Inactive,SP 0203,SP 2223
SDA  340,Modern Dance III,This course focuses on increasing clarity and adaptability in modern technique from SDA 240. Students develop stronger rhythmic clarity and coordinate movement to link transitions smoothly while sustaining dynamic alignment. Students also work on skills n,Active,SP 1415,FA 2526
SDA  475,Choreographic Studies,The Choreographic Studies course is an advanced study of choreography exploration for solo work as well as small and large group composition. This course is designed to encourage further exploration and conceptual development for the choreographic process,Active,FA 2526,FA 2526
SDA  405,Dance Technique,"This course teaches the student to build the strength, flexibility, endurance, and control necessary for performance of intermediate-level dance movement. The class comprises floor-work and complex movement combinations from the side and corners of the ro",Active,SP 1718,SP 2526
SDA  495,Sp Tps: Dance Perspectives,"In-depth study of and/or practice in a specific area of dance performance. Advanced training for further exploration of particular disciplines. Possible topics include: Folk Dance, Character Dance, Hip-Hop, schools of Ballet training, and iconic Modern Da",Active,SP 1415,SP 2526
SED  735,Ed Indv Low Incidence Disabilities,"Instruction of individuals with severe/multiple and/or physical disabilities (low incidence). Topics include collecting and interpreting diagnostic assessment data to design instruction and monitor progress, transitional programs, and current research.  F",Active,SP 0203,SU 2425
