course code,course title,course description,active status,start date,end date
SAR  255,Painting,"Basic painting techniques; color theory; visual, conceptual, and contextual skills emphasized.   When Offered: Fall and spring semesters. Prerequistite(s): SAR 120.  Fee.",Active,FA 1415,SP 2526
SAR  260,Sculpture,"Addition methods using clay, wood, plaster, metals; direct building of form and armature construction; welding, casting, or carving wood or stone.  Offered: Fall semester. Fee.",Active,FA 1415,CA 2526
SAR  271,Computer for the Fine Artist,,Inactive,FA 0304,FA 0203
SAR  265,Printmaking,"Introduction to relief, monotype, and basic intaglio printing processes, as well as multi-colored processes in screen printing using non-toxic techniques.   When Offered: Spring semester. Prerequistite(s): SAR 115 and SAR 120.  Fee.",Active,SP 0506,SP 2526
SAR  295,Illustration,,Inactive,SP 9596,FA 0708
SAR  303,Mixed Media,This course will combine studio practice with a close examination of contemporary art and its implications for the development of transferrable conceptual skills in producing the best vehicle for the expression of their concepts.   When Offered: Spring se,Active,SP 2021,SP 2526
SAR  281,Digital Imaging II,This advanced course provides digital image-making concepts and techniques and in-depth exploration of computer-based photo projects.  When Offered: Spring semester. Fee.,Active,SP 1011,SP 2526
SAR  121,3-D Design,"Elements of three-dimensional design; forming, fabrication, and joining of various materials: use of hand and power tools.   When Offered: Spring semester. Prerequistite(s): SAR 120.    Fee.",Active,SP 1718,SP 2526
SAR  306,Arts in the Classroom,"This course is available to all majors. The purpose of the class is to address a wide variety of practical information for all classroom teachers. Use of art materials, purchasing, storage, safety, display, collaborations, and planning are covered. Studen",Active,FA 1718,FA 2526
SAR  290,Typography II,Analysis and creative use of typography through assigned projects. Instruction and practical experience using computer software.   When Offered: Spring semester. Prerequistite(s): SAR 180 and SAR 190.  Fee.,Active,SP 0506,SP 2526
SAR  308,Art Ed K-12 Observation & Practicum,This capstone course requires students to observe and experience practical situations in art education at the K-12 grade level. Participants observe and interact with students in a variety of levels and situations. The class includes fifteen hours of clas,Active,FA 1718,FA 2526
SAR  300,Color Theory,,Inactive,SP 9798,FA 9900
SAR  272,Intro Web Animation and Flash,,Inactive,SP 1011,SP 0910
SAR  275,History & Aesthetics of Photography,,Inactive,SP 9596,FA 9495
SAR  302,Conceptual Design Studio,,Inactive,SP 9798,SP 9900
SAR  305,Arthitectural Drafting,,Inactive,SP 9697,SP 9899
SAR  345,Intermediate Metalsmithing,"This course is a continuation of the work begun in SAR 245 and covers lost wax-casting methods, hollow forming, tool making, and advanced jewelry techniques. Students begin constructing a concept-driven cohesive body of work.   When Offered: Fall and spri",Active,SP 9596,SP 2526
SAR  307,Art Methods K-12,"In this capstone course, students become familiar with art education in grades K through 12. Arts advocacy, classroom management, multi-disciplinary collaboration, special needs students, purchasing materials, sourcing materials, technology, curriculum de",Active,SP 1920,SP 2526
SAR  311,Advanced 3-D Media,"For an advanced three-dimensional experience, students in Advanced 3D Media are expected to develop both depth and sophistication in their creative efforts. This course engages the student to go beyond fabrication for its own sake, to a determined intelle",Inactive,FA 1415,SP 1617
SAR  355,Intermediate Painting,"Intermediate painting builds upon foundational painting and drawing experiences to further develop and strengthen students' conceptual, analytical, and technical painting skills. Emphasis is placed on developing an increasingly personal artistic language ",Active,SP 9596,SP 2526
SAR  350,Color Photography,,Inactive,SP 9596,SP 9596
SAR  360,Intermediate Sculpture,"This course is an intermediate-level three-dimensional experience focusing on broadening a student's knowledge of sculptural techniques and processes. Through experimentation, students develop their own personal subject matter as they progress through the",Active,SP 9596,SP 2526
SAR  375,Art Seminar: Experimental Film,Art seminar. Topics vary. Credits: Variable When Offered: As needed. Fee may be assessed for some topics. Repeatable for credit.,Active,SP 0506,SP 2122
SAR  365,Printmaking,,Inactive,SP 9596,SP 9495
SAR  376,Women in Art,"Women artists and women as patrons, promoters, and critics of art are the focus of this course. By analyzing art practice, art theory, and criticism, students understand and integrate the role and contributions of women into the ongoing history of art. St",Active,FA 1718,FA 2324
SAR  371,Contemporary Art and Criticism,This course evaluates contemporary works of art and artists. Students travel to Pittsburgh and New York City to study contemporary art.   When Offered: Fall semester. Prerequistite(s): SAR 105 and SAR 110; SAR 205 strongly recommended as a prerequisite.  ,Active,FA 1415,FA 2526
SAR  385,Global Art: Special Topics,Comprehensive survey of the artistic and cultural traditions of widely divergent societies; a comparative and thematic approach to the cultural productions of cultures across the World.  When Offered: Fall semester. Repeatable for credit. Fee.,Active,FA 1415,FA 2526
SAR  317,Animation II,"Students expand upon skills learned in Animation I. Advanced scripting, syncing, and sound techniques will be combined with complex animated timelines. Optimization techniques for web, mobile, and large-scale production will create motion deliverables. Ad",Active,FA 1920,SP 2526
SAR  399,World Cities,,Inactive,FA 9697,FA 9697
SAR  325,Intermediate Clay,This course is a continuation of the work begun in SAR 225 and consists of advanced wheel throwing techniques and the introduction of slip casting methods with emphasis on finishing and firing techniques. Students create a cohesive body of work which lead,Active,FA 9697,SP 2526
SAR  402,Interior Design Portfolio,,Inactive,SP 9798,FA 0001
SAR  145,Visual Design,"An introduction and investigation into design techniques for presentations. Students develop design skills essential to communicating ideas and information. Through the creation of informative presentation, students utilize design, color, and spatial orga",Active,SP 1819,SP 2526
SAR  340,Fabrics,,Inactive,FA 9900,FA 9495
SAR  401,Honors,,Inactive,FA 0809,FA 9596
SAR  411,Independent Study or Research,Open only to advanced students who qualify.   Prerequistite(s): Two or three courses in the selected studio art or history area and permission from the instructor and approval of the division chair.   Permission Required. Repeatable for credit.,Active,FA 1415,FA 2526
SAR  450,Color Photography,,Inactive,FA 9697,FA 9495
SAR  370,American Art,"A study of American art from Puritan beginnings to the present, focusing on painting and sculpture.      When Offered: Spring semester. Prerequistite(s): Liberal Arts Curriculum: Satisfies the U.S. Cultures requirement.  US",Active,SP 0506,SP 2526
SAR  420,Field Work,Apprenticeship or professional experiences related to major area of study.   Prerequistite(s): Two or three courses in the selected studio art or history area and permission from the instructor and approval of the division chair.  Permission Required. Rep,Active,FA 1415,SP 2526
SAR  460,Advanced Sculpture,Students in advanced sculpture are expected to develop both conceptual depth and technical sophistication in their creative efforts. This course is an opportunity for the student to go beyond fabrication for its own sake to a determined intellectual devel,Active,SP 9596,SP 2526
SAR  425,Advanced Clay,"Advanced clay further refines the compositional skills of the student with the inclusion of new conceptual ideas, technical challenges, and research. Through expanded competency in: clay construction methods, surface treatments, glazing techniques, and fi",Active,FA 9697,SP 2526
SAR  475,Art Seminar:Summer Studio Practicum,Studio seminar. Topics vary.  Credits: Variable. When Offered: As needed. Fee may be assessed for specific studio seminars. Prerequisites:  SAR 115 and SAR 120.  Repeatable for credit.,Active,FA 1415,SU 2223
SAR  430,Internship,"A supervised and evaluated experience enabling upper-level students to enrich their art option through direct work responsibilities at galleries, museums, advertising agencies, or other sites with approval of the dean.    When Offered: Fall, spring, and s",Active,FA 1415,SP 2526
SAR  390,Web Design,"Study of HTML, Web design, Web editor, Web animation, digital image editing for the Web.   When Offered: Fall semester. Prerequistite(s): SAR 180.  Fee.",Active,FA 1415,FA 2526
SAR  480,Prof. Practice for Visual Arts,This course provides practical and theoretical skill development to students who plan careers in the visual arts. Examples include targeting a specific career in the arts; the business of being an artist; documentation and presentation of work and skills;,Active,SP 1011,SP 2526
SAT  200,Introduction to Art Therapy,,Inactive,FA 9697,FA 9596
SAT  300,Experimental Art Therapy,,Inactive,SP 9596,SP 9495
SAT  545,Art Therapy with Families,Family systems theory and art therapy techniques are integrated and explored. Students become adept at family art evaluation and learn to use art-based interventions with couples and families. Emphasis is on family treatment methods as well as the use of ,Inactive,SP 0506,SP 1920
SAR  440,Apprenticeship,"Practical experiences in learning specific skills related to the major area of study under the direction of qualified personnel and with approval of the dean. Assignments arranged and approved by the supervising faculty member.    When Offered: Fall, spri",Active,FA 1415,SP 2526
SAR  395,History of Graphic Design,"The course provides graphic design students with an understanding of the places, people, events, and technological innovations that have influenced the development of the profession of graphic design. History of visual communication with an emphasis on th",Active,FA 1415,FA 2526
SAT  555,Art Therapy Studio,Studio exploration of personal creativity and self expression. Direct experience of the creative process with a focus on the relationship of art making to art therapy. An exploration of diverse materials and their applications to therapeutic contexts.   O,Active,SU 0203,SU 2425
SAT  105,Intro to Creativity in Therapy,"An introduction to the use and elements of creativity and self-expression in art therapy and related creative therapies. Students learn how various expressive modalities can encourage self-exploration, personal growth, and engagement with others. Methods ",Active,SP 1415,SP 2526
SAR  455,Advanced Painting,"Advanced painting students are expected to work towards a consistent and conceptually sound body of work in their chosen medium(s). Because the techniques, methods, and concerns of individual students vary, methods of production may incorporate a multitud",Active,SP 9596,SP 2526
SAT  565,Art Therapy with Adults,"Various mental and physical challenges that affect individuals from late adolescence into late adulthood are reviewed. Art therapy assessments and interventions to address those challenges are explored. Development of case studies is practiced, including ",Active,SP 0506,SP 2526
SAT  410,Independent Study,0 Permission Required. Repeatable for credit.,Active,FA 1415,SP 2526
SAT  205,Introduction to Visual Art Therapy,"A didactic and experiential introduction to visual art therapy as a discipline and a profession. Includes an overview of the history of art therapy, exposure to various theoretical approaches to art therapy practice, and engagement with art therapy materi",Active,FA 1415,FA 2526
SAT  210,Arts for Community Change,This course involves exploration of using the arts and art-making experiences in community-based settings. Focus is on exploring how the arts engage people in meaningful experiences that link personal change and self-expression with the advancement of com,Active,SP 1415,SP 2526
SAT  420,Field Work,"Supervised art therapy practicum, including weekly on-campus supervision seminars and a minimum of six hours per week in the field with a population of interest to the student.    When Offered: Fall semester. Prerequistite(s): SAT 305.  Permission Require",Active,FA 1415,FA 2526
SAR  185,The Art of Film,,Inactive,FA 0304,FA 9596
SAT  220,Art Therapy Theories & Methods I,,Inactive,FA 0304,FA 0506
SAT  575,Addiction and Recovery,"This course provides students with an overview of addictive disorders including contemporary theories of addictive behavior, pharmacological classification of addictive substances, assessment of addictive disorders and currently preferred models of addict",Active,SU 2122,SU 2425
SAT  430,Internship,,Inactive,SP 9596,FA 9596
SAR  200,Renaissance Art,"History of the Italian Renaissance Art from the 13th century to the 16th century.  Credits: 3. When Offered: Fall semester, even-numbered years. Prerequisite: SAR 105.",Active,FA 1415,FA 2425
SAT  320,AT Theories and Methods II,,Inactive,FA 0304,FA 0506
SAT  580,Art Therapy Seminar,,Inactive,SU 9697,SU 9697
SAT  510,Art Therapy Technique II,,Inactive,SP 9798,SP 9798
SAT  535,Art Therapy with Older Adults,,Inactive,SU 9697,SU 9697
SAT  595,Couples and Family Systems,"Considers people in relationships, including the interactional patterns and dynamics of families and groups.  Provides an introduction to systems theory and its application to therapy.  Students are also introduced to the major theoretical schools includi",Active,FA 2021,FA 2526
SAT  602,Internship 3,"A third semester of supervision is offered, as needed, when additional client contact hours are needed to complete the minimum required internship hours for graduation. See description of SAT601.  Permission of the program director required.   When Offere",Active,SP 1415,SP 2526
